Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,blank_drydown2_02,NA,,,
Pigment,MIS_185,NA,,,
Pigment,MIS_204,NA,,,
Pigment,MIS_211,NA,,,
Pigment,MIS_212,NA,,,
Pigment,MIS_219,NA,,,
Pigment,MIS_222,NA,,,
Pigment,MIS_223,NA,,,
Pigment,MIS_230,NA,,,
Pigment,MIS_231,NA,,,
Extract,Blank,A,0.309,0.309,1
Extract,Blank,B,0.325,0.325,1
Extract,#5,A,0.948,0.949,1
Extract,#5,B,1.063,1.063,1
Extract,blank_drydown2_02,A,0.298,0.3,1
Extract,blank_drydown2_02,B,0.309,0.309,1
Extract,MIS_185,A,0.382,0.382,1
Extract,MIS_185,B,0.454,0.454,1
Extract,MIS_204,A,0.346,0.346,0.1
Extract,MIS_204,B,0.361,0.362,0.1
Extract,MIS_211,A,0.41,0.411,1
Extract,MIS_211,B,0.394,0.394,1
Extract,MIS_212,A,0.321,0.322,1
Extract,MIS_212,B,0.337,0.338,1
Extract,MIS_219,A,0.327,0.329,1
Extract,MIS_219,B,0.377,0.378,1
Extract,MIS_222,A,0.335,0.337,1
Extract,MIS_222,B,0.301,0.301,1
Extract,MIS_223,A,0.324,0.323,0.1
Extract,MIS_223,B,0.315,0.314,0.1
Extract,MIS_230,A,0.362,0.363,1
Extract,MIS_230,B,0.265,0.266,1
Extract,MIS_231,A,0.421,0.42,1
Extract,MIS_231,B,0.386,0.389,1
