Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_017,NA,0.059,0.058
Pigment,SH1_023,NA,0.051,0.052
Pigment,SH1_028,NA,0.056,0.058
Pigment,SH1_029,NA,0.083,0.084
Pigment,SH1_035,NA,0.183,0.183
Pigment,SH1_042,NA,0.056,0.055
Pigment,SH1_047,NA,0.077,0.075
Pigment,SH1_052,NA,0.125,0.125
Pigment,SH1_059,NA,0.098,0.097
Pigment,SH1_076,NA,0.075,0.074
Extract,Blank,A,0.18,0.18
Extract,Blank,B,0.189,0.189
Extract,#5,A,0.986,0.985
Extract,#5,B,1.016,1.016
Extract,SH1_017,A,0.234,0.233
Extract,SH1_017,B,0.248,0.248
Extract,SH1_023,A,0.293,0.293
Extract,SH1_023,B,0.35,0.351
Extract,SH1_028,A,0.26,0.259
Extract,SH1_028,B,0.279,0.279
Extract,SH1_029,A,0.304,0.303
Extract,SH1_029,B,0.308,0.309
Extract,SH1_035,A,0.546,0.546
Extract,SH1_035,B,0.5,0.5
Extract,SH1_042,A,0.296,0.296
Extract,SH1_042,B,0.221,0.222
Extract,SH1_047,A,0.327,0.327
Extract,SH1_047,B,0.346,0.347
Extract,SH1_052,A,0.418,0.418
Extract,SH1_052,B,0.396,0.396
Extract,SH1_059,A,0.402,0.403
Extract,SH1_059,B,0.382,0.385
Extract,SH1_076,A,0.325,0.324
Extract,SH1_076,B,0.267,0.268
