Assay,SampleID,Dup,Abs1,Abs2
Pigment,GH1_027,NA,0.058,0.058
Pigment,GH1_048,NA,0.057,0.057
Pigment,GH1_054,NA,0.068,0.068
Pigment,GH1_061,NA,0.074,0.076
Pigment,GH1_064,NA,0.067,0.067
Pigment,GH1_091,NA,0.072,0.074
Pigment,GH1_092,NA,0.074,0.073
Pigment,GH1_094,NA,0.09,0.09
Pigment,GH1_111,NA,0.092,0.092
Pigment,GH1_113,NA,0.087,0.087
Extract,Blank,A,0.117,0.118
Extract,Blank,B,0.205,0.205
Extract,#5,A,1.106,1.103
Extract,#5,B,1.065,1.066
Extract,GH1_027,A,0.305,0.304
Extract,GH1_027,B,0.36,0.36
Extract,GH1_048,A,0.351,0.35
Extract,GH1_048,B,0.296,0.297
Extract,GH1_054,A,0.29,0.291
Extract,GH1_054,B,0.466,0.465
Extract,GH1_061,A,0.447,0.446
Extract,GH1_061,B,0.348,0.347
Extract,GH1_064,A,0.348,0.349
Extract,GH1_064,B,0.38,0.378
Extract,GH1_091,A,0.325,0.324
Extract,GH1_091,B,0.349,0.348
Extract,GH1_092,A,0.347,0.345
Extract,GH1_092,B,0.349,0.351
Extract,GH1_094,A,0.394,0.394
Extract,GH1_094,B,0.427,0.428
Extract,GH1_111,A,0.309,0.311
Extract,GH1_111,B,0.38,0.381
Extract,GH1_113,A,0.409,0.411
Extract,GH1_113,B,0.413,0.414
