Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_003,NA,0.064,0.063
Pigment,SH1_034,NA,0.069,0.07
Pigment,SH1_036,NA,0.056,0.055
Pigment,SH1_039,NA,0.087,0.086
Pigment,SH1_044,NA,0.165,0.165
Pigment,SH1_048,NA,0.102,0.101
Pigment,SH1_057,NA,0.074,0.076
Pigment,SH1_073,NA,0.075,0.074
Pigment,SH1_078,NA,0.055,0.055
Pigment,SH1_079,NA,0.065,0.065
Extract,Blank,A,0.177,0.176
Extract,Blank,B,0.171,0.178
Extract,#5,A,1.02,1.021
Extract,#5,B,1.019,1.02
Extract,SH1_003,A,0.343,0.343
Extract,SH1_003,B,0.304,0.304
Extract,SH1_034,A,0.304,0.305
Extract,SH1_034,B,0.331,0.33
Extract,SH1_036,A,0.23,0.231
Extract,SH1_036,B,0.235,0.235
Extract,SH1_039,A,0.367,0.369
Extract,SH1_039,B,0.38,0.38
Extract,SH1_044,A,0.556,0.556
Extract,SH1_044,B,0.662,0.664
Extract,SH1_048,A,0.336,0.336
Extract,SH1_048,B,0.363,0.365
Extract,SH1_057,A,0.325,0.325
Extract,SH1_057,B,0.306,0.307
Extract,SH1_073,A,0.304,0.304
Extract,SH1_073,B,0.304,0.305
Extract,SH1_078,A,0.279,0.279
Extract,SH1_078,B,0.266,0.266
Extract,SH1_079,A,0.247,0.248
Extract,SH1_079,B,0.237,0.237
