Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,MIS_184,NA,,,
Pigment,MIS_188,NA,,,
Pigment,MIS_190,NA,,,
Pigment,MIS_191,NA,,,
Pigment,MIS_193,NA,,,
Pigment,MIS_195,NA,,,
Pigment,MIS_196,NA,,,
Pigment,MIS_203,NA,,,
Pigment,MIS_216,NA,,,
Pigment,MIS_227,NA,,,
Extract,Blank,A,0.212,0.213,1
Extract,Blank,B,0.218,0.219,1
Extract,#5,A,1.153,1.153,1
Extract,#5,B,1.218,1.219,1
Extract,MIS_184,A,0.897,0.896,0.2
Extract,MIS_184,B,0.841,0.841,0.2
Extract,MIS_188,A,0.217,0.217,1
Extract,MIS_188,B,0.27,0.27,1
Extract,MIS_190,A,0.284,0.284,1
Extract,MIS_190,B,0.264,0.263,1
Extract,MIS_191,A,0.532,0.534,1
Extract,MIS_191,B,0.541,0.54,1
Extract,MIS_193,A,0.418,0.419,1
Extract,MIS_193,B,0.44,0.44,1
Extract,MIS_195,A,0.711,0.711,1
Extract,MIS_195,B,0.77,0.769,1
Extract,MIS_196,A,0.495,0.496,1
Extract,MIS_196,B,0.502,0.501,1
Extract,MIS_203,A,0.599,0.599,1
Extract,MIS_203,B,0.58,0.579,1
Extract,MIS_216,A,0.514,0.515,1
Extract,MIS_216,B,0.507,0.506,1
Extract,MIS_227,A,0.248,0.248,1
Extract,MIS_227,B,0.255,0.255,1
