Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,MIS_186,NA,,,
Pigment,MIS_194,NA,,,
Pigment,MIS_207,NA,,,
Pigment,MIS_208,NA,,,
Pigment,MIS_210,NA,,,
Pigment,MIS_218,NA,,,
Pigment,MIS_221,NA,,,
Pigment,MIS_224,NA,,,
Pigment,MIS_225,NA,,,
Pigment,MIS_229,NA,,,
Extract,Blank,A,0.194,0.195,1
Extract,Blank,B,0.185,0.188,1
Extract,#5,A,1.234,1.232,1
Extract,#5,B,1.256,1.257,1
Extract,MIS_186,A,0.482,0.483,1
Extract,MIS_186,B,0.458,0.459,1
Extract,MIS_194,A,0.879,0.88,0.2
Extract,MIS_194,B,0.856,0.856,0.2
Extract,MIS_207,A,0.357,0.356,1
Extract,MIS_207,B,0.373,0.372,1
Extract,MIS_208,A,0.291,0.292,1
Extract,MIS_208,B,0.377,0.375,1
Extract,MIS_210,A,0.31,0.311,1
Extract,MIS_210,B,0.324,0.324,1
Extract,MIS_218,A,0.29,0.289,1
Extract,MIS_218,B,0.287,0.288,1
Extract,MIS_221,A,0.457,0.457,1
Extract,MIS_221,B,0.441,0.441,1
Extract,MIS_224,A,0.492,0.49,0.2
Extract,MIS_224,B,0.531,0.53,0.2
Extract,MIS_225,A,0.621,0.621,1
Extract,MIS_225,B,0.665,0.666,1
Extract,MIS_229,A,0.308,0.309,1
Extract,MIS_229,B,0.299,0.299,1
