Assay,Sample ID,Dup.,ABS-1,ABS-2
Pigment,MIS_184,NA,,
Pigment,MIS_188,NA,,
Pigment,MIS_190,NA,,
Pigment,MIS_191,NA,,
Pigment,MIS_193,NA,,
Pigment,MIS_195,NA,,
Pigment,MIS_196,NA,,
Pigment,MIS_203,NA,,
Pigment,MIS_216,NA,,
Pigment,MIS_227,NA,,
Extract,Blank,A,0.244,0.242
Extract,Blank,B,0.221,0.221
Extract,#5,A,1.333,1.329
Extract,#5,B,1.224,1.226
Extract,MIS_184,A,1.12,1.12
Extract,MIS_184,B,1.084,1.083
Extract,MIS_188,A,0.249,0.251
Extract,MIS_188,B,0.253,0.253
Extract,MIS_190,A,0.245,0.246
Extract,MIS_190,B,0.257,0.257
Extract,MIS_191,A,0.388,0.389
Extract,MIS_191,B,0.387,0.386
Extract,MIS_193,A,0.634,0.633
Extract,MIS_193,B,0.545,0.544
Extract,MIS_195,A,0.382,0.382
Extract,MIS_195,B,0.311,0.314
Extract,MIS_196,A,0.356,0.356
Extract,MIS_196,B,0.363,0.361
Extract,MIS_203,A,0.441,0.442
Extract,MIS_203,B,0.444,0.446
Extract,MIS_216,A,0.361,0.361
Extract,MIS_216,B,0.372,0.371
Extract,MIS_227,A,0.244,0.243
Extract,MIS_227,B,0.269,0.269
