Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_006,NA,0.123,0.126
Pigment,SH1_014,NA,0.061,0.062
Pigment,SH1_027,NA,0.079,0.078
Pigment,SH1_030,NA,0.065,0.067
Pigment,SH1_037,NA,0.062,0.063
Pigment,SH1_063,NA,0.113,0.113
Pigment,SH1_066,NA,0.068,0.069
Pigment,SH1_068,NA,0.06,0.059
Pigment,SH1_074,NA,0.073,0.073
Pigment,SH1_077,NA,0.067,0.067
Extract,Blank,A,0.218,0.217
Extract,Blank,B,0.182,0.183
Extract,#5,A,1.04,1.041
Extract,#5,B,1.061,1.06
Extract,SH1_006,A,0.449,0.45
Extract,SH1_006,B,0.445,0.446
Extract,SH1_014,A,0.572,0.571
Extract,SH1_014,B,0.431,0.43
Extract,SH1_027,A,0.349,0.349
Extract,SH1_027,B,0.401,0.4
Extract,SH1_030,A,0.272,0.272
Extract,SH1_030,B,0.263,0.263
Extract,SH1_037,A,0.421,0.42
Extract,SH1_037,B,0.388,0.39
Extract,SH1_063,A,0.413,0.413
Extract,SH1_063,B,0.441,0.44
Extract,SH1_066,A,0.28,0.28
Extract,SH1_066,B,0.271,0.271
Extract,SH1_068,A,0.363,0.362
Extract,SH1_068,B,0.337,0.338
Extract,SH1_074,A,0.333,0.335
Extract,SH1_074,B,0.306,0.307
Extract,SH1_077,A,0.311,0.31
Extract,SH1_077,B,0.297,0.296
