Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_001,NA,0.083,0.082
Pigment,SH1_010,NA,0.079,0.079
Pigment,SH1_024,NA,0.053,0.055
Pigment,SH1_046,NA,0.09,0.088
Pigment,SH1_054,NA,0.046,0.047
Pigment,SH1_055,NA,0.047,0.047
Pigment,SH1_056,NA,0.046,0.047
Pigment,SH1_058,NA,0.07,0.071
Pigment,SH1_060,NA,0.086,0.088
Pigment,SH1_085,NA,0.048,0.047
Pigment,SH1_086,NA,0.048,0.047
Extract,Blank,A,0.337,0.337
Extract,Blank,B,0.287,0.286
Extract,#5,A,1.017,1.017
Extract,#5,B,1.218,1.218
Extract,SH1_001,A,0.543,0.541
Extract,SH1_001,B,0.424,0.423
Extract,SH1_010,A,0.443,0.444
Extract,SH1_010,B,0.463,0.464
Extract,SH1_024,A,0.449,0.452
Extract,SH1_024,B,0.483,0.485
Extract,SH1_046,A,0.428,0.427
Extract,SH1_046,B,0.444,0.443
Extract,SH1_054,A,0.336,0.335
Extract,SH1_054,B,0.287,0.286
Extract,SH1_055,A,0.358,0.358
Extract,SH1_055,B,0.333,0.333
Extract,SH1_056,A,0.359,0.358
Extract,SH1_056,B,0.336,0.333
Extract,SH1_058,A,0.491,0.493
Extract,SH1_058,B,0.438,0.439
Extract,SH1_060,A,0.266,0.266
Extract,SH1_060,B,0.283,0.284
Extract,SH1_085,A,0.084,0.083
Extract,SH1_085,B,0.108,0.108
Extract,SH1_086,A,0.087,0.086
Extract,SH1_086,B,0.103,0.102
