MIS_ID,Assay,ABS_extract_avg,dilution_factor,glu_ug_mL,glu_ug_mL_dilcorr,ExtractionSet,SoilMass_g,gravimetric_water_percent,soilmassOD,glu_g_OD,EPS_ug_glu_g_soil
blank_drydown2_01,Extract,0.14225,1,-0.24552660965075812,-0.24552660965075812,Set_1,0,NA,NA,NA,NA
MIS_183,Extract,0.3315,0.1,17.147149162365487,171.47149162365486,Set_1,2.94,5.917753259779338,2.7660180541624872,61.99218091350242,247.9687236540097
MIS_187,Extract,0.362,1,5.950093168852936,5.950093168852936,Set_1,3,6.12142498745609,2.8163572503763175,2.112691196423285,8.45076478569314
MIS_198,Extract,0.36424999999999996,1,6.22848776674425,6.22848776674425,Set_1,3.06,6.033182503770753,2.875384615384615,2.166140742848455,8.66456297139382
MIS_199,Extract,0.42425,1,13.652343710512726,13.652343710512726,Set_1,3.06,6.155398587285566,2.871644803229062,4.754189548498879,19.016758193995518
MIS_201,Extract,0.4585,1,17.890128145080563,17.890128145080563,Set_1,2.98,0.6532663316582688,2.9605326633165836,6.04287477275757,24.17149909103028
MIS_202,Extract,0.34575,1,3.9394655174156434,3.9394655174156434,Set_1,2.95,6.039255158530425,2.7718419728233528,1.421244629398179,5.684978517592716
MIS_206,Extract,0.40549999999999997,1,11.332388728085075,11.332388728085075,Set_1,2.94,5.639476334340405,2.774199395770392,4.084922210480867,16.33968884192347
MIS_217,Extract,0.36675,1,6.53781509773461,6.53781509773461,Set_2,2.94,6.162324649298581,2.7588276553106215,2.369780180052061,9.479120720208243
blank_drydown2_02,Extract,0.304,1,-1.2263009101232516,-1.2263009101232516,Set_2,0,NA,NA,NA,NA
MIS_185,Extract,0.41800000000000004,1,12.879025383036847,12.879025383036847,Set_1,2.92,6.989515726410378,2.715906140788817,4.742073074475328,18.96829229790131
MIS_211,Extract,0.40225,1,10.930263197797618,10.930263197797618,Set_1,2.91,0.6996501749125467,2.889640179910045,3.78256894190123,15.13027576760492
MIS_212,Extract,0.3295,1,1.9288378659783512,1.9288378659783512,Set_2,3.08,6.006006006005984,2.895015015015016,0.6662617830907336,2.6650471323629343
MIS_219,Extract,0.35275,1,4.8055820441886326,4.8055820441886326,Set_2,2.96,6.343656343656323,2.772227772227773,1.7334730184622775,6.93389207384911
MIS_222,Extract,0.3185,1,0.567797609620797,0.567797609620797,Set_2,2.93,5.489021956087832,2.769171656686627,0.20504240257181416,0.8201696102872567
MIS_230,Extract,0.314,1,0.011008413838161242,0.011008413838161242,Set_2,3.04,6.231306081754734,2.8505682951146563,0.0038618312906333854,0.015447325162533542
MIS_231,Extract,0.404,1,11.14679232949087,11.14679232949087,Set_2,2.93,0.6496751624188033,2.9109645177411294,3.829243627517877,15.316974510071509
MIS_184,Extract,1.10175,1,77.67811676419349,77.67811676419349,Set_1,2.99,8.494783904619975,2.736005961251863,28.391062689297566,113.56425075719027
MIS_188,Extract,0.2515,1,2.4784473131728144,2.4784473131728144,Set_1,3.02,5.36340852130326,2.8580250626566417,0.8671887960524057,3.468755184209623
MIS_190,Extract,0.25125,1,2.4563362665832735,2.4563362665832735,Set_1,2.96,5.908863294942412,2.785097646469705,0.8819569646675914,3.5278278586703657
MIS_191,Extract,0.3875,1,14.506856657881798,14.506856657881798,Set_1,3,0.4479840716774332,2.986560477849677,4.8573791709474214,19.429516683789686
MIS_193,Extract,0.589,1,32.32836020904988,32.32836020904988,Set_1,2.95,6.234413965087281,2.7660847880299255,11.687407540415617,46.749630161662466
MIS_195,Extract,0.34725,1,10.946978156966088,10.946978156966088,Set_1,2.98,6.515151515151511,2.785848484848485,3.9294951669137403,15.717980667654961
MIS_196,Extract,0.359,1,11.986197346674398,11.986197346674398,Set_1,2.98,5.947026486756647,2.8027786106946517,4.276540894431791,17.106163577727163
MIS_203,Extract,0.44325000000000003,1,19.4376200473489,19.4376200473489,Set_1,2.93,5.944055944055932,2.7558391608391615,7.053249087813269,28.212996351253075
MIS_216,Extract,0.36624999999999996,1,12.627417697771016,12.627417697771016,Set_2,3.08,5.161290322580641,2.9210322580645163,4.322929903601262,17.291719614405046
MIS_227,Extract,0.25625,1,2.898557198374045,2.898557198374045,Set_2,2.99,6.143856143856128,2.8062987012987017,1.0328755085952352,4.131502034380941
MIS_186,Extract,0.3485,1,11.057533389913777,11.057533389913777,Set_1,2.95,5.920722528850976,2.7753386853988964,3.984210449012096,15.936841796048384
MIS_194,Extract,1.05775,1,73.7865725644347,73.7865725644347,Set_1,3.1,7.4596774193548585,2.8687499999999995,25.72080960851755,102.8832384340702
MIS_207,Extract,0.3165,1,8.227319426452842,8.227319426452842,Set_1,2.97,5.549949545913191,2.8051664984863782,2.9329166132891467,11.731666453156587
MIS_208,Extract,0.264,1,3.583999642649744,3.583999642649744,Set_1,2.96,6.117290192113214,2.778928210313449,1.2897057323569676,5.1588229294278705
MIS_210,Extract,0.2855,1,5.485549649350058,5.485549649350058,Set_1,3.03,5.944584382871534,2.849879093198992,1.9248359210890322,7.699343684356129
MIS_218,Extract,0.28600000000000003,1,5.52977174252914,5.52977174252914,Set_2,3.07,5.858788182273419,2.8901352028042058,1.9133263167632362,7.653305267052945
MIS_221,Extract,0.35750000000000004,1,11.853531067137173,11.853531067137173,Set_2,2.99,0.900450225112555,2.9630765382691346,4.000413392649435,16.00165357059774
MIS_224,Extract,1.06125,1,74.09612721668825,74.09612721668825,Set_2,2.98,7.560483870967739,2.7546975806451615,26.898098628791995,107.59239451516798
MIS_225,Extract,0.34225,1,10.504757225175315,10.504757225175315,Set_2,3.04,6.375502008032146,2.846184738955823,3.6908205856761023,14.763282342704409
MIS_229,Extract,0.27925,1,4.932773484611595,4.932773484611595,Set_2,2.97,6.6633515663849,2.7720984584783688,1.7794366103862131,7.117746441544853
MIS_182,Extract,0.182,1,-3.6684236387189086,-3.6684236387189086,Set_1,3.05,5.416248746238708,2.8848044132397193,-1.2716368644899438,-5.086547457959775
MIS_192,Extract,0.19525,1,-2.4965381694733635,-2.4965381694733635,Set_1,2.91,5.979899497487461,2.735984924623115,-0.91248242890712,-3.64992971562848
MIS_200,Extract,0.26,1,3.2302228972171263,3.2302228972171263,Set_1,3.09,6.440339490763851,2.890993509735397,1.1173400723105664,4.469360289242266
MIS_205,Extract,0.42600000000000005,1,17.91195783267074,17.91195783267074,Set_1,3.08,6.747230614300083,2.8721852970795574,6.236351760063547,24.94540704025419
MIS_209,Extract,0.27049999999999996,1,4.158886853977743,4.158886853977743,Set_1,2.92,6.294058408862034,2.7362134944612286,1.5199423811030668,6.079769524412267
MIS_214,Extract,0.76575,1,47.96087014785366,47.96087014785366,Set_2,2.99,7.893413775766718,2.7539869281045752,17.41506819019748,69.66027276078992
MIS_215,Extract,0.25275000000000003,1,2.58900254612051,2.58900254612051,Set_2,2.96,6.683291770573582,2.7621745635910218,0.9373059111639288,3.7492236446557152
MIS_220,Extract,0.30125,1,6.8785455844909915,6.8785455844909915,Set_2,2.96,6.133735545500246,2.778441427853193,2.475684934559088,9.902739738236352
MIS_226,Extract,0.36224999999999996,1,12.273640952338397,12.273640952338397,Set_2,3.05,5.76441102756895,2.874185463659147,4.2703023543625935,17.081209417450374
MIS_228,Extract,0.254,1,2.6995577790682,2.6995577790682,Set_2,2.93,6.007067137809213,2.7539929328621904,0.9802340982271815,3.920936392908726
MIS_189,Extract,0.30025,1,6.790101398132837,6.790101398132837,Set_1,3.02,5.8354114713216685,2.8437705735660854,2.387710689902124,9.550842759608496
MIS_197,Extract,0.23875000000000002,1,1.3507839371063488,1.3507839371063488,Set_1,2.9,6.106106106106099,2.722922922922923,0.49607865347005453,1.9843146138802181
MIS_204,Extract,1.0710000000000002,1,74.95845803368027,74.95845803368027,Set_1,2.92,7.823470411233712,2.6915546639919756,27.849502384806012,111.39800953922405
MIS_213,Extract,0.97575,1,66.53414928306606,66.53414928306606,Set_2,2.97,6.350806451612893,2.781381048387097,23.921263618894912,95.68505447557965
MIS_223,Extract,0.65175,1,37.87823290302407,37.87823290302407,Set_2,3.03,4.876822523881376,2.882232277526394,13.141977903159194,52.56791161263678
MIS_224,Precipitate,0.51075,0.2,25.40760262652432,127.03801313262159,Set_2,2.98,7.560483870967739,2.7546975806451615,46.116863798482285,92.23372759696457
blank_drydown2_01,Precipitate,0.34375,1,3.692003652623361,3.692003652623361,Set_1,0,NA,NA,NA,NA
MIS_183,Precipitate,0.5262500000000001,1,26.272898814919138,26.272898814919138,Set_1,2.94,5.917753259779338,2.7660180541624872,9.498455288598691,9.498455288598691
MIS_187,Precipitate,0.3755,1,7.620460756200843,7.620460756200843,Set_1,3,6.12142498745609,2.8163572503763175,2.705786261733169,2.705786261733169
MIS_198,Precipitate,0.34650000000000003,1,4.032263716712753,4.032263716712753,Set_1,3.06,6.033182503770753,2.875384615384615,1.402338906293895,1.402338906293895
MIS_199,Precipitate,0.38,1,8.177249951983478,8.177249951983478,Set_1,3.06,6.155398587285566,2.871644803229062,2.847584054542001,2.847584054542001
MIS_201,Precipitate,0.5355000000000001,1,27.41740993958344,27.41740993958344,Set_1,2.98,0.6532663316582688,2.9605326633165836,9.260971945794596,9.260971945794596
MIS_202,Precipitate,0.27575,1,-4.721699750314239,-4.721699750314239,Set_1,2.95,6.039255158530425,2.7718419728233528,-1.7034519992872441,-1.7034519992872441
MIS_206,Precipitate,0.48824999999999996,1,21.571123383865753,21.571123383865753,Set_1,2.94,5.639476334340405,2.774199395770392,7.775621109554556,7.775621109554556
MIS_213,Precipitate,1.19725,1,109.29635445272984,109.29635445272984,Set_2,2.97,6.350806451612893,2.781381048387097,39.29571408998778,39.29571408998778
MIS_217,Precipitate,0.392,1,9.662021140737174,9.662021140737174,Set_2,2.94,6.162324649298581,2.7588276553106215,3.5022199092930686,3.5022199092930686
blank_drydown2_02,Precipitate,0.31725000000000003,1,0.4131339441256238,0.4131339441256238,Set_2,0,NA,NA,NA,NA
