Assay,Sample ID,Dup.,ABS-1,ABS-2,dilution_factor
Pigment,blank_drydown2_02,NA,,,
Pigment,MIS_185,NA,,,
Pigment,MIS_204,NA,,,
Pigment,MIS_211,NA,,,
Pigment,MIS_212,NA,,,
Pigment,MIS_219,NA,,,
Pigment,MIS_222,NA,,,
Pigment,MIS_223,NA,,,
Pigment,MIS_230,NA,,,
Pigment,MIS_231,NA,,,
Extract,Blank,A,0.423,0.422,1
Extract,Blank,B,0.312,0.312,1
Extract,#5,A,1.032,1.028,1
Extract,#5,B,1.074,1.078,1
Extract,blank_drydown2_02,A,0.293,0.292,1
Extract,blank_drydown2_02,B,0.342,0.342,1
Extract,MIS_185,A,0.659,0.659,1
Extract,MIS_185,B,0.656,0.656,1
Extract,MIS_204,A,0.406,0.405,0.1
Extract,MIS_204,B,0.515,0.515,0.1
Extract,MIS_211,A,0.402,0.402,1
Extract,MIS_211,B,0.453,0.453,1
Extract,MIS_212,A,0.343,0.343,1
Extract,MIS_212,B,0.312,0.308,1
Extract,MIS_219,A,0.375,0.375,1
Extract,MIS_219,B,0.359,0.36,1
Extract,MIS_222,A,0.356,0.356,1
Extract,MIS_222,B,0.321,0.322,1
Extract,MIS_223,A,0.421,0.42,1
Extract,MIS_223,B,0.434,0.434,1
Extract,MIS_230,A,0.329,0.33,1
Extract,MIS_230,B,0.38,0.381,1
Extract,MIS_231,A,0.431,0.43,1
Extract,MIS_231,B,0.454,0.454,1
