Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_009,NA,0.1,0.1
Pigment,SH1_011,NA,0.052,0.054
Pigment,SH1_015,NA,0.09,0.09
Pigment,SH1_016,NA,0.106,0.107
Pigment,SH1_025,NA,0.066,0.066
Pigment,SH1_031,NA,0.112,0.112
Pigment,SH1_033,NA,0.066,0.066
Pigment,SH1_053,NA,0.057,0.057
Pigment,SH1_080,NA,0.05,0.05
Pigment,EB4,NA,0.047,0.048
Extract,Blank,A,0.227,0.227
Extract,Blank,B,0.213,0.214
Extract,#5,A,1.088,1.089
Extract,#5,B,1.119,1.119
Extract,SH1_009,A,0.388,0.387
Extract,SH1_009,B,0.449,0.448
Extract,SH1_011,A,0.353,0.354
Extract,SH1_011,B,0.33,0.33
Extract,SH1_015,A,0.31,0.312
Extract,SH1_015,B,0.415,0.412
Extract,SH1_016,A,0.373,0.372
Extract,SH1_016,B,0.35,0.346
Extract,SH1_025,A,0.341,0.34
Extract,SH1_025,B,0.361,0.361
Extract,SH1_031,A,0.406,0.406
Extract,SH1_031,B,0.429,0.431
Extract,SH1_033,A,0.354,0.355
Extract,SH1_033,B,0.352,0.351
Extract,SH1_053,A,0.353,0.35
Extract,SH1_053,B,0.354,0.352
Extract,SH1_080,A,0.28,0.281
Extract,SH1_080,B,0.286,0.288
Extract,EB4,A,0.176,0.174
Extract,EB4,B,0.211,0.212
