Assay,SampleID,Dup,Abs1,Abs2
Pigment,GH1_001,NA,0.085,0.084
Pigment,GH1_007,NA,0.104,0.104
Pigment,GH1_012,NA,0.06,0.06
Pigment,GH1_019,NA,0.064,0.064
Pigment,GH1_065,NA,0.062,0.062
Pigment,GH1_070,NA,0.074,0.074
Pigment,GH1_093,NA,0.095,0.095
Pigment,GH1_098,NA,0.086,0.086
Pigment,GH1_119,NA,0.086,0.087
Pigment,GH1_121,NA,0.084,0.084
Extract,Blank,A,0.097,0.097
Extract,Blank,B,0.152,0.152
Extract,#5,A,0.956,0.958
Extract,#5,B,1.051,1.049
Extract,GH1_001,A,0.433,0.434
Extract,GH1_001,B,0.454,0.453
Extract,GH1_007,A,0.625,0.625
Extract,GH1_007,B,0.622,0.621
Extract,GH1_012,A,0.232,0.232
Extract,GH1_012,B,0.234,0.232
Extract,GH1_019,A,0.323,0.325
Extract,GH1_019,B,0.448,0.45
Extract,GH1_065,A,0.247,0.248
Extract,GH1_065,B,0.252,0.251
Extract,GH1_070,A,0.29,0.29
Extract,GH1_070,B,0.251,0.251
Extract,GH1_093,A,0.26,0.258
Extract,GH1_093,B,0.267,0.268
Extract,GH1_098,A,0.367,0.368
Extract,GH1_098,B,0.391,0.39
Extract,GH1_119,A,0.339,0.34
Extract,GH1_119,B,0.325,0.324
Extract,GH1_121,A,0.285,0.285
Extract,GH1_121,B,0.285,0.284
