Assay,Sample ID,Dup.,ABS-1,ABS-2
Pigment,MIS_183,NA,,
Pigment,MIS_189,NA,,
Pigment,MIS_197,NA,,
Pigment,MIS_204,NA,,
Pigment,MIS_213,NA,,
Pigment,MIS_223,NA,,
Pigment,,NA,,
Pigment,,NA,,
Pigment,,NA,,
Pigment,,NA,,
Extract,Blank,A,0.377,0.377
Extract,Blank,B,0.244,0.244
Extract,#5,A,1.279,1.279
Extract,#5,B,1.207,1.207
Extract,MIS_183,A,,
Extract,MIS_183,B,,
Extract,MIS_189,A,0.324,0.323
Extract,MIS_189,B,0.277,0.277
Extract,MIS_197,A,0.257,0.257
Extract,MIS_197,B,0.22,0.221
Extract,MIS_204,A,1.098,1.098
Extract,MIS_204,B,1.043,1.045
Extract,MIS_213,A,0.947,0.944
Extract,MIS_213,B,1.006,1.006
Extract,MIS_223,A,0.628,0.628
Extract,MIS_223,B,0.676,0.675
Extract,,A,,
Extract,,B,,
Extract,,A,,
Extract,,B,,
Extract,,A,,
Extract,,B,,
Extract,,A,,
Extract,,B,,
