Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_020,NA,0.057,0.057
Pigment,SH1_021,NA,0.08,0.078
Pigment,SH1_026,NA,0.084,0.084
Pigment,SH1_032,NA,0.064,0.065
Pigment,SH1_040,NA,0.082,0.082
Pigment,SH1_049,NA,0.088,0.086
Pigment,SH1_070,NA,0.079,0.077
Pigment,SH1_083,NA,0.06,0.06
Pigment,SH1_084,NA,0.11,0.111
Pigment,SH1_061,NA,0.089,0.09
Extract,Blank,A,0.165,0.165
Extract,Blank,B,0.162,0.161
Extract,#5,A,1.135,1.134
Extract,#5,B,1.072,1.071
Extract,SH1_020,A,0.299,0.299
Extract,SH1_020,B,0.315,0.314
Extract,SH1_021,A,0.316,0.315
Extract,SH1_021,B,0.302,0.302
Extract,SH1_026,A,0.29,0.291
Extract,SH1_026,B,0.362,0.361
Extract,SH1_032,A,0.269,0.27
Extract,SH1_032,B,0.261,0.262
Extract,SH1_040,A,0.346,0.347
Extract,SH1_040,B,0.354,0.354
Extract,SH1_049,A,0.325,0.325
Extract,SH1_049,B,0.332,0.331
Extract,SH1_070,A,0.321,0.321
Extract,SH1_070,B,0.309,0.31
Extract,SH1_083,A,0.265,0.268
Extract,SH1_083,B,0.266,0.266
Extract,SH1_084,A,0.451,0.45
Extract,SH1_084,B,0.448,0.448
Extract,SH1_061,A,0.285,0.286
Extract,SH1_061,B,0.321,0.32
