Assay,SampleID,Dup,Abs1,Abs2
Pigment,GH1_004,NA,0.067,0.067
Pigment,GH1_014,NA,0.061,0.063
Pigment,GH1_017,NA,0.063,0.063
Pigment,GH1_032,NA,0.058,0.058
Pigment,GH1_036,NA,0.065,0.066
Pigment,GH1_046,NA,0.063,0.063
Pigment,GH1_047,NA,0.06,0.061
Pigment,GH1_075,NA,0.062,0.062
Pigment,GH1_096,NA,0.088,0.084
Pigment,GH1_109,NA,0.076,0.075
Extract,Blank,A,0.076,0.075
Extract,Blank,B,0.121,0.122
Extract,#5,A,0.982,0.983
Extract,#5,B,0.996,0.997
Extract,GH1_004,A,0.311,0.311
Extract,GH1_004,B,0.335,0.335
Extract,GH1_014,A,0.264,0.262
Extract,GH1_014,B,0.324,0.322
Extract,GH1_017,A,0.237,0.237
Extract,GH1_017,B,0.248,0.249
Extract,GH1_032,A,0.374,0.374
Extract,GH1_032,B,0.347,0.346
Extract,GH1_036,A,0.473,0.472
Extract,GH1_036,B,0.419,0.419
Extract,GH1_046,A,0.261,0.26
Extract,GH1_046,B,0.296,0.294
Extract,GH1_047,A,0.265,0.265
Extract,GH1_047,B,0.231,0.231
Extract,GH1_075,A,0.218,0.217
Extract,GH1_075,B,0.261,0.26
Extract,GH1_096,A,0.305,0.306
Extract,GH1_096,B,0.336,0.336
Extract,GH1_109,A,0.303,0.304
Extract,GH1_109,B,0.321,0.321
