Assay,SampleID,Dup,Abs1,Abs2
Pigment,SH1_012,NA,0.073,0.07
Pigment,SH1_019,NA,0.143,0.145
Pigment,SH1_050,NA,0.069,0.07
Pigment,SH1_051,NA,0.055,0.054
Pigment,SH1_064,NA,0.281,0.28
Pigment,SH1_065,NA,0.135,0.133
Pigment,SH1_069,NA,0.138,0.137
Pigment,SH1_071,NA,0.06,0.06
Pigment,SH1_072,NA,0.066,0.066
Pigment,SH1_075,NA,0.074,0.074
Extract,Blank,A,0.161,0.162
Extract,Blank,B,0.182,0.183
Extract,#5,A,1.06,1.057
Extract,#5,B,1.028,1.027
Extract,SH1_012,A,0.29,0.291
Extract,SH1_012,B,0.315,0.316
Extract,SH1_019,A,0.456,0.456
Extract,SH1_019,B,0.448,0.449
Extract,SH1_050,A,0.329,0.33
Extract,SH1_050,B,0.29,0.29
Extract,SH1_051,A,0.27,0.269
Extract,SH1_051,B,0.266,0.266
Extract,SH1_064,A,0.636,0.635
Extract,SH1_064,B,0.665,0.663
Extract,SH1_065,A,0.447,0.447
Extract,SH1_065,B,0.405,0.405
Extract,SH1_069,A,0.425,0.424
Extract,SH1_069,B,0.441,0.443
Extract,SH1_071,A,0.305,0.306
Extract,SH1_071,B,0.278,0.276
Extract,SH1_072,A,0.264,0.264
Extract,SH1_072,B,0.308,0.31
Extract,SH1_075,A,0.274,0.274
Extract,SH1_075,B,0.279,0.28
