Assay,SampleID,Dup,Abs1,Abs2
Pigment,GH1_022,NA,0.06,0.06
Pigment,GH1_028,NA,0.062,0.061
Pigment,GH1_037,NA,0.06,0.061
Pigment,GH1_040,NA,0.06,0.062
Pigment,GH1_043,NA,0.059,0.06
Pigment,GH1_062,NA,0.076,0.077
Pigment,GH1_077,NA,0.072,0.072
Pigment,GH1_100,NA,0.081,0.082
Pigment,GH1_124,NA,0.081,0.081
Pigment,GH1_125,NA,0.098,0.099
Extract,Blank,A,0.12,0.119
Extract,Blank,B,0.126,0.126
Extract,#5,A,0.959,0.959
Extract,#5,B,0.962,0.961
Extract,GH1_022,A,0.255,0.254
Extract,GH1_022,B,0.25,0.249
Extract,GH1_028,A,0.263,0.262
Extract,GH1_028,B,0.322,0.322
Extract,GH1_037,A,0.204,0.204
Extract,GH1_037,B,0.211,0.212
Extract,GH1_040,A,0.233,0.232
Extract,GH1_040,B,0.229,0.229
Extract,GH1_043,A,0.331,0.331
Extract,GH1_043,B,0.273,0.274
Extract,GH1_062,A,0.287,0.289
Extract,GH1_062,B,0.29,0.29
Extract,GH1_077,A,0.319,0.319
Extract,GH1_077,B,0.338,0.337
Extract,GH1_100,A,0.26,0.26
Extract,GH1_100,B,0.267,0.269
Extract,GH1_124,A,0.344,0.345
Extract,GH1_124,B,0.351,0.352
Extract,GH1_125,A,0.576,0.575
Extract,GH1_125,B,0.605,0.605
