Assay,SampleID,Dup,Abs1,Abs2
Pigment,GH1_026,NA,0.065,0.064
Pigment,GH1_052,NA,0.077,0.077
Pigment,GH1_055,NA,0.065,0.065
Pigment,GH1_076,NA,0.074,0.072
Pigment,GH1_097,NA,0.086,0.086
Extract,Blank,A,0.101,0.101
Extract,Blank,B,0.113,0.114
Extract,#5,A,1.001,1
Extract,#5,B,1.042,1.041
Extract,GH1_026,A,0.373,0.373
Extract,GH1_026,B,0.354,0.354
Extract,GH1_052,A,0.376,0.376
Extract,GH1_052,B,0.374,0.376
Extract,GH1_055,A,0.334,0.333
Extract,GH1_055,B,0.328,0.328
Extract,GH1_076,A,0.418,0.42
Extract,GH1_076,B,0.397,0.397
Extract,GH1_097,A,0.387,0.389
Extract,GH1_097,B,1.419,1.42
